$n_0$,$n_1$,$n_2$,$n_3$,$n_4$,N,k,params_label
42133.0,1626.0,21292.0,31172.0,3.0,96723.0,4,s6/mu10minus5
1075.0,0.0,99118.0,7048.0,3.0,107850.0,4,s6/mu10minus5
2906.0,251.0,68823.0,16453.0,3.0,90106.0,4,s6/mu10minus5
15786.0,0.0,7725.0,68492.0,2.0,92005.0,4,s6/mu10minus5
2116.0,0.0,73170.0,28626.0,3.0,104069.0,4,s6/mu10minus5
77261.0,15358.0,5935.0,1079.0,3.0,100135.0,4,s6/mu10minus5
33633.0,433.0,23571.0,68553.0,4.0,126227.0,4,s6/mu10minus5
79116.0,3036.0,16843.0,1662.0,2.0,102452.0,4,s6/mu10minus5
1412.0,0.0,82111.0,4268.0,2.0,87939.0,4,s6/mu10minus5
8068.0,0.0,74811.0,21093.0,2.0,104323.0,4,s6/mu10minus5
2688.0,0.0,96448.0,146.0,5.0,99400.0,4,s6/mu10minus5
24855.0,983.0,36600.0,18691.0,3.0,81132.0,4,s6/mu10minus5
78682.0,2307.0,31151.0,3626.0,3.0,115769.0,4,s6/mu10minus5
15029.0,179.0,66662.0,12083.0,2.0,93960.0,4,s6/mu10minus5
1481.0,291.0,96397.0,921.0,4.0,99095.0,4,s6/mu10minus5
8626.0,0.0,72832.0,23315.0,2.0,104775.0,4,s6/mu10minus5
7839.0,0.0,88790.0,11866.0,3.0,108514.0,4,s6/mu10minus5
47722.0,0.0,39860.0,9201.0,2.0,96785.0,4,s6/mu10minus5
154.0,0.0,86770.0,14714.0,2.0,102631.0,4,s6/mu10minus5
33398.0,409.0,65838.0,63.0,3.0,99711.0,4,s6/mu10minus5
5985.0,22.0,4869.0,88671.0,2.0,99549.0,4,s6/mu10minus5
30592.0,2248.0,76518.0,624.0,2.0,111132.0,4,s6/mu10minus5
12182.0,1319.0,4265.0,73655.0,2.0,91423.0,4,s6/mu10minus5
15246.0,0.0,59306.0,22871.0,2.0,97425.0,4,s6/mu10minus5
84708.0,537.0,141.0,19818.0,2.0,105221.0,4,s6/mu10minus5
44265.0,2262.0,58423.0,276.0,3.0,105511.0,4,s6/mu10minus5
69258.0,2098.0,764.0,30814.0,3.0,102937.0,4,s6/mu10minus5
5593.0,604.0,91291.0,4432.0,2.0,101923.0,4,s6/mu10minus5
5431.0,1380.0,51164.0,37518.0,2.0,95495.0,4,s6/mu10minus5
22351.0,0.0,57938.0,20625.0,2.0,102389.0,4,s6/mu10minus5
55133.0,3493.0,35069.0,17260.0,2.0,110968.0,4,s6/mu10minus5
32234.0,1722.0,45055.0,679.0,2.0,86420.0,4,s6/mu10minus5
11463.0,240.0,72001.0,7629.0,3.0,92805.0,4,s6/mu10minus5
1836.0,0.0,43632.0,34171.0,5.0,79644.0,4,s6/mu10minus5
76136.0,94.0,31903.0,11927.0,4.0,121399.0,4,s6/mu10minus5
1327.0,112.0,78129.0,38151.0,2.0,117897.0,4,s6/mu10minus5
1740.0,0.0,83479.0,15007.0,2.0,101732.0,4,s6/mu10minus5
62605.0,1211.0,19932.0,17364.0,3.0,101116.0,4,s6/mu10minus5
73192.0,3089.0,0.0,12885.0,2.0,89203.0,4,s6/mu10minus5
32333.0,2745.0,60313.0,7928.0,2.0,104350.0,4,s6/mu10minus5
20454.0,325.0,50899.0,41274.0,2.0,112965.0,4,s6/mu10minus5
571.0,428.0,40844.0,67628.0,2.0,109767.0,4,s6/mu10minus5
63070.0,3118.0,18132.0,3036.0,2.0,89217.0,4,s6/mu10minus5
24024.0,501.0,58644.0,17415.0,4.0,100627.0,4,s6/mu10minus5
408.0,4.0,63648.0,40335.0,2.0,104417.0,4,s6/mu10minus5
2048.0,96.0,74824.0,25039.0,3.0,102171.0,4,s6/mu10minus5
23894.0,365.0,78592.0,2629.0,3.0,105562.0,4,s6/mu10minus5
22071.0,2110.0,41934.0,34490.0,2.0,100761.0,4,s6/mu10minus5
25190.0,0.0,70667.0,4078.0,2.0,100223.0,4,s6/mu10minus5
19979.0,953.0,81324.0,182.0,2.0,102441.0,4,s6/mu10minus5
34418.0,5422.0,28091.0,44797.0,2.0,113188.0,4,s6/mu10minus5
35457.0,0.0,17190.0,36636.0,3.0,89402.0,4,s6/mu10minus5
69752.0,16800.0,12281.0,7360.0,3.0,106196.0,4,s6/mu10minus5
22058.0,513.0,92109.0,148.0,2.0,114998.0,4,s6/mu10minus5
14464.0,470.0,50334.0,46608.0,2.0,112077.0,4,s6/mu10minus5
