$n_0$,$n_1$,$n_2$,$n_3$,$n_4$,N,k,params_label,$f_0$,$f_1$,$f_2$,$f_3$,7322 exp. diff,25568R exp. diff,7328 exp. diff,27510 exp. diff,2261 exp. diff,47668 exp. diff
13557.0,246.0,92755.0,481.0,2.0,107041.0,4,s6/mu10minus5,0.12665240421894414,0.0022981848076905113,0.866537121289973,0.004493605254061528,2.9212428183512005,3.0457456015460083,3.1589308800449047,3.2816324977727303,3.2078818970397807,3.2433047683419334
10282.0,605.0,53723.0,21496.0,0.0,86106.0,4,s6/mu10minus5,0.11941095858592897,0.0070262234919750075,0.623917032494832,0.24964578542726407,2.8268048813555495,2.9750423476322565,3.397027795801341,3.415980555972787,3.279217615875263,3.189875561620822
1659.0,0.0,52692.0,29738.0,2.0,86239.0,4,s6/mu10minus5,0.019237236053293753,0.0,0.6109996637252287,0.344832384420042,2.703322473028189,2.8561152566736743,3.419386351152275,3.2645538935596776,3.1573706648430315,3.0775848704833417
86380.0,0.0,7049.0,17914.0,2.0,111390.0,4,s6/mu10minus5,0.7754735613609839,0.0,0.0632821617739474,0.16082233593679862,3.6894474081765543,3.684090617410547,3.4259058015182475,3.430419215843325,3.433687250947394,3.4046132151342774
12697.0,0.0,50066.0,32556.0,2.0,95321.0,4,s6/mu10minus5,0.1332025471826775,0.0,0.52523578225155,0.34154068883037314,2.814346362957099,2.9766373837669784,3.3686010015209678,3.386542988282965,3.303122523417202,3.2199704765901846
4719.0,243.0,80453.0,13170.0,2.0,98587.0,4,s6/mu10minus5,0.04786635154736426,0.0024648280199214907,0.8160609410977107,0.13358759268463388,2.787499485699607,2.912679329774261,3.3686676334022225,3.373282163110994,3.2042805280062794,3.107849218219144
24445.0,1901.0,79109.0,719.0,2.0,106177.0,4,s6/mu10minus5,0.23022876894242633,0.017904065852303228,0.7450671991109186,0.006771711387588649,3.053221531241833,3.1632898060958317,3.116826038020669,3.225359349078415,3.3466134069818003,3.3745715552076856
12354.0,0.0,84506.0,2352.0,4.0,99216.0,4,s6/mu10minus5,0.12451620706337688,0.0,0.8517376229640381,0.02370585389453314,2.9129324790546334,3.0312556046931376,3.1859230905252045,3.30930838307272,3.236014579437333,3.2346783446216105
66750.0,0.0,18988.0,7493.0,1.0,100227.0,4,s6/mu10minus5,0.6659882067706306,0.0,0.18944994861664022,0.07476029413231963,3.6618510673488367,3.7889621886876665,3.2901805866801186,3.3432644109543905,3.7008080373911327,3.674246308489997
43353.0,317.0,37009.0,5631.0,3.0,86318.0,4,s6/mu10minus5,0.5022475034175954,0.00367246692462754,0.4287518246483932,0.06523552445608101,3.3547214486748556,3.518668628251162,3.1809254263204494,3.256996252983687,3.905971998299937,3.8117119616307726
78376.0,1480.0,0.0,38373.0,2.0,118284.0,4,s6/mu10minus5,0.6626086368401475,0.01251225863176761,0.0,0.32441412194379626,3.6364233080856967,3.416381063369527,3.311901646493131,3.3936816313686515,3.3322852116804027,3.320147544333798
90956.0,5661.0,4076.0,393.0,4.0,101090.0,4,s6/mu10minus5,0.8997526956177664,0.05599960431298843,0.04032050647937482,0.003887624888713028,3.785912713093711,3.653136525946323,3.154091109275209,3.237555810137482,3.280603393208011,3.3805608547918578
5441.0,0.0,57127.0,30665.0,4.0,93240.0,4,s6/mu10minus5,0.058354783354783356,0.0,0.6126876876876877,0.3288824538824539,2.7337405838432214,2.885259376570784,3.3945569940881963,3.312989942171926,3.1920603494862805,3.1099264801977142
1751.0,188.0,106755.0,772.0,2.0,110036.0,4,s6/mu10minus5,0.015912973935802828,0.0017085317532443928,0.9701824857319423,0.00701588571013123,2.823735441448713,2.9354135191798507,3.220469158070941,3.1628748759086145,3.0805706043519705,3.114338560101982
